Date,Forecasted Load,Lower CI,Upper CI
2024-01-01 00:00:00+00:00,216398.82584668393,197939.61090003332,234858.04079333454
2024-01-02 00:00:00+00:00,222169.8574401041,197690.11149004518,246649.603390163
2024-01-03 00:00:00+00:00,223639.35107413103,195436.71036104928,251841.99178721278
2024-01-04 00:00:00+00:00,223673.72663650988,192946.05148145303,254401.40179156672
2024-01-05 00:00:00+00:00,219032.9106839416,186520.10176804982,251545.71959983336
2024-01-06 00:00:00+00:00,189490.1047977478,155685.7790535417,223294.43054195392
2024-01-07 00:00:00+00:00,178839.7242487605,144087.554025644,213591.894471877
2024-01-08 00:00:00+00:00,218418.9431158313,182879.6033804076,253958.28285125497
2024-01-09 00:00:00+00:00,223929.42731592903,187804.31742395702,260054.53720790104
2024-01-10 00:00:00+00:00,225171.9780137628,188608.71497230598,261735.2410552196
2024-01-11 00:00:00+00:00,225008.68091616515,188116.47037013472,261900.89146219558
2024-01-12 00:00:00+00:00,220195.68740584765,183055.85391017154,257335.52090152376
2024-01-13 00:00:00+00:00,190502.91079838158,153176.30609577315,227829.51550099
2024-01-14 00:00:00+00:00,179721.90220743025,142254.218643145,217189.5857717155
2024-01-15 00:00:00+00:00,219187.3409632727,181579.26700506802,256795.41492147738
2024-01-16 00:00:00+00:00,224598.71999792132,186884.48299797263,262312.95699787
2024-01-17 00:00:00+00:00,225754.94775484165,187960.36569383933,263549.52981584397
2024-01-18 00:00:00+00:00,225516.46133593886,187661.03667473845,263371.88599713927
2024-01-19 00:00:00+00:00,220637.9761500772,182736.45645254402,258539.49584761035
2024-01-20 00:00:00+00:00,190888.1547456754,152951.70093157867,228824.6085597721
2024-01-21 00:00:00+00:00,180057.45878865197,142094.5225299543,218020.39504734965
2024-01-22 00:00:00+00:00,219479.61867455713,181480.75474511652,257478.48260399775
2024-01-23 00:00:00+00:00,224853.30079083153,186827.2018245382,262879.39975712483
2024-01-24 00:00:00+00:00,225976.6936410879,187929.94494447764,264023.4423376982
2024-01-25 00:00:00+00:00,225709.60724260777,187647.19943787775,263772.0150473378
2024-01-26 00:00:00+00:00,220806.21079873052,182731.9270045196,258880.49459294145
2024-01-27 00:00:00+00:00,191034.6910999561,152951.39967507025,229117.98252484197
2024-01-28 00:00:00+00:00,180185.0954158139,142094.97148330833,218275.2193483195
2024-01-29 00:00:00+00:00,219590.79319280718,181486.32355558977,257695.26283002459
2024-01-30 00:00:00+00:00,224950.1364232276,186834.78655787377,263065.48628858145
2024-01-31 00:00:00+00:00,226061.03976508422,187937.43733628385,264184.6421938846
2024-02-01 00:00:00+00:00,225783.07470966683,187653.2123997815,263912.93701955216
2024-02-02 00:00:00+00:00,220870.2026985398,182735.5918140616,259004.813583018
2024-02-03 00:00:00+00:00,191090.42955678774,152952.21640790868,229228.6427056668
2024-02-04 00:00:00+00:00,180233.64492878714,142092.69903313593,218374.59082443835
2024-02-05 00:00:00+00:00,219633.08096580845,181483.43288568925,257782.72904592764
2024-02-06 00:00:00+00:00,224986.97007275143,186830.72112455964,263143.2190209432
2024-02-07 00:00:00+00:00,226093.12274418084,187931.8665968466,264254.3788915151
2024-02-08 00:00:00+00:00,225811.01974256535,187645.96516082808,263976.0743243026
2024-02-09 00:00:00+00:00,220894.54348252204,182726.6073485393,259062.47961650477
2024-02-10 00:00:00+00:00,191111.6309547973,152941.50878365117,229281.75312594342
2024-02-11 00:00:00+00:00,180252.11184743227,142080.33125240353,218423.89244246102
2024-02-12 00:00:00+00:00,219649.16608831275,181470.46222467232,257827.86995195318
2024-02-13 00:00:00+00:00,225000.98059453635,186817.02500794153,263184.93618113117
2024-02-14 00:00:00+00:00,226105.3262397174,187917.38674642536,264293.26573300944
2024-02-15 00:00:00+00:00,225821.6492755404,187630.6875405541,264012.6110105267
2024-02-16 00:00:00+00:00,220903.80205691405,182710.54756060278,259097.05655322532
2024-02-17 00:00:00+00:00,191119.6953918684,152924.70151025453,229314.68927348225
2024-02-18 00:00:00+00:00,180259.13616267996,142062.82269330657,218455.44963205335
2024-02-19 00:00:00+00:00,219655.28443287467,181452.67279041675,257857.8960753326
2024-02-20 00:00:00+00:00,225006.30981722331,186798.92055581458,263213.69907863205
2024-02-21 00:00:00+00:00,226109.9681186047,187898.95456144033,264320.9816757691
2024-02-22 00:00:00+00:00,225825.69246173662,187611.9294453543,264039.4554781189
2024-02-23 00:00:00+00:00,220907.32376762948,182691.4749175422,259123.17261771677
2024-02-24 00:00:00+00:00,191122.76288511787,152905.331626152,229340.19414408374
2024-02-25 00:00:00+00:00,180261.80802178365,142043.17626113805,218480.43978242925
2024-02-26 00:00:00+00:00,219657.61168528872,181432.91372013927,257882.30965043817
2024-02-27 00:00:00+00:00,225008.33690906782,186779.037264943,263237.6365531926
2024-02-28 00:00:00+00:00,226111.73376350047,187878.9432771193,264344.5242498816
2024-02-29 00:00:00+00:00,225827.23038016216,187591.7916666548,264062.6690936695
2024-03-01 00:00:00+00:00,220908.6633309184,182671.2155770803,259146.11108475653
2024-03-02 00:00:00+00:00,191123.92967639575,152884.95776991334,229362.90158287817
2024-03-03 00:00:00+00:00,180262.8243245574,142022.6961111792,218502.95253793563
2024-03-04 00:00:00+00:00,219658.4969090194,181412.39158157463,257904.60223646415
2024-03-05 00:00:00+00:00,225009.10795985465,186758.46852568845,263259.74739402084
2024-03-06 00:00:00+00:00,226112.40536695535,187858.32634542498,264366.4843884857
2024-03-07 00:00:00+00:00,225827.81536264103,187571.1269938443,264084.5037314378
2024-03-08 00:00:00+00:00,220909.17286448035,182650.50494917668,259167.84077978402
2024-03-09 00:00:00+00:00,191124.37349216826,152864.20379856805,229384.54318576847
2024-03-10 00:00:00+00:00,180263.21089858242,142001.90187190205,218524.51992526278
2024-03-11 00:00:00+00:00,219658.8336241297,181391.58320440046,257926.08404385895
2024-03-12 00:00:00+00:00,225009.40124667218,186737.64381335524,263281.1586799891
2024-03-13 00:00:00+00:00,226112.66082670362,187837.48435663263,264387.8372967746
2024-03-14 00:00:00+00:00,225828.03787411816,187550.267645592,264105.80810264434
2024-03-15 00:00:00+00:00,220909.3666772348,182629.6287276757,259189.10462679388
2024-03-16 00:00:00+00:00,191124.54230765707,152843.3115507266,229405.77306458756
2024-03-17 00:00:00+00:00,180263.3579408622,141980.99465644264,218545.72122528174
2024-03-18 00:00:00+00:00,219658.96170142994,181370.6725900655,257947.2508127944
2024-03-19 00:00:00+00:00,225009.51280502707,186716.72848624413,263302.29712381004
2024-03-20 00:00:00+00:00,226112.7579966668,187816.563596214,264408.9523971196
2024-03-21 00:00:00+00:00,225828.12251145218,187529.34114542976,264126.9038774746
2024-03-22 00:00:00+00:00,220909.44039835266,182608.69646426116,259210.18433244416
2024-03-23 00:00:00+00:00,191124.60652049273,152822.37368810183,229426.83935288363
2024-03-24 00:00:00+00:00,180263.41387175937,141960.05147739832,218566.77626612043
2024-03-25 00:00:00+00:00,219659.010418563,181349.7301177797,257968.29071934632
2024-03-26 00:00:00+00:00,225009.55523880114,186695.7857377901,263323.3247398122
2024-03-27 00:00:00+00:00,226112.79495748668,187795.61993122185,264429.96998375154
2024-03-28 00:00:00+00:00,225828.15470519967,187508.39616958523,264147.9132408141
2024-03-29 00:00:00+00:00,220909.46843986746,182587.74995798152,259231.1869217534
2024-03-30 00:00:00+00:00,191124.6309453147,152801.4255540247,229447.83633660473
2024-03-31 00:00:00+00:00,180263.43514635647,141939.10170191154,218587.7685908014
2024-04-01 00:00:00+00:00,219659.0289492398,181328.78261190775,257989.27528657182
2024-04-02 00:00:00+00:00,225009.5713794585,186674.8396442127,263344.3031147043
2024-04-03 00:00:00+00:00,226112.80901638063,187774.67463984317,264450.9433929181
2024-04-04 00:00:00+00:00,225828.1669508285,187487.45125250006,264168.88264915696
2024-04-05 00:00:00+00:00,220909.47910609952,182566.8051209012,259252.15309129783
2024-04-06 00:00:00+00:00,191124.6402358549,152780.48060006124,229468.79987164855
2024-04-07 00:00:00+00:00,180263.44323863648,141918.1565046375,218608.72997263545
2024-04-08 00:00:00+00:00,219659.0359978069,181307.84027645944,258010.23171915437
2024-04-09 00:00:00+00:00,225009.57751892702,186653.8993615929,263365.25567626115
2024-04-10 00:00:00+00:00,226112.81436400278,187753.73581188516,264471.8929161204
2024-04-11 00:00:00+00:00,225828.17160873377,187466.51343883504,264189.8297786325
2024-04-12 00:00:00+00:00,220909.48316324505,182545.86799906217,259273.09832742793
2024-04-13 00:00:00+00:00,191124.64376972453,152759.5439354836,229489.74360396544
2024-04-14 00:00:00+00:00,180263.44631672042,141897.22012811873,218629.67250532212
2024-04-15 00:00:00+00:00,219659.03867889076,181286.9069840474,258031.17037373412
2024-04-16 00:00:00+00:00,225009.57985421442,186632.96836339188,263386.19134503696
2024-04-17 00:00:00+00:00,226112.81639809327,187732.8065148119,264492.8262813746
2024-04-18 00:00:00+00:00,225828.17338047465,187445.58539819397,264210.7613627553
2024-04-19 00:00:00+00:00,220909.48470647325,182524.9408819818,259294.0285309647
2024-04-20 00:00:00+00:00,191124.64511391273,152738.61749330614,229510.67273451932
2024-04-21 00:00:00+00:00,180263.4474875401,141876.29417555165,218650.60079952856
2024-04-22 00:00:00+00:00,219659.03969870237,181265.9841969717,258052.09520043305
2024-04-23 00:00:00+00:00,225009.58074249444,186612.04795994284,263407.11352504604
2024-04-24 00:00:00+00:00,226112.81717180615,187711.88790442,264513.7464391923
2024-04-25 00:00:00+00:00,225828.17405439686,187424.6681349574,264231.67997383635
2024-04-26 00:00:00+00:00,220909.48529347542,182504.02462940483,259314.945957546
2024-04-27 00:00:00+00:00,191124.64562520548,152717.70199762308,229531.58925278788
2024-04-28 00:00:00+00:00,180263.44793288817,141855.37924554144,218671.5166202349
2024-04-29 00:00:00+00:00,219659.04008661106,181245.07246019153,258073.0077130306
2024-04-30 00:00:00+00:00,225009.58108037207,186591.1386383609,263428.02352238324
2024-05-01 00:00:00+00:00,226112.81746610557,187690.9804090127,264534.65452319843
2024-05-02 00:00:00+00:00,225828.1743107386,187403.762019811,264252.5866016662
2024-05-03 00:00:00+00:00,220909.4855167551,182483.11955698393,259335.8514765263
2024-05-04 00:00:00+00:00,191124.64581968737,152696.7977124761,229552.49392689863
2024-05-05 00:00:00+00:00,180263.4481022865,141834.4755543872,218692.42065018578
2024-05-06 00:00:00+00:00,219659.04023416102,181224.17196958774,258093.9084987343
2024-05-07 00:00:00+00:00,225009.58120889156,186570.24057251494,263448.92184526817
2024-05-08 00:00:00+00:00,226112.8175780491,187670.08418008094,264555.55097601726
2024-05-09 00:00:00+00:00,225828.17440824406,187382.86718232406,264273.48163416405
2024-05-10 00:00:00+00:00,220909.48560168466,182462.22577335118,259356.74543001814
2024-05-11 00:00:00+00:00,191124.64589366302,152675.90472686265,229573.3870604634
2024-05-12 00:00:00+00:00,180263.44816672103,141813.58317292383,218713.31316051824
2024-05-13 00:00:00+00:00,219659.04029028502,181203.2827882294,258114.79779234063
2024-05-14 00:00:00+00:00,225009.58125777688,186549.35381710198,263469.8086984518
2024-05-15 00:00:00+00:00,226112.81762062936,187649.19926381033,264576.43597744836
2024-05-16 00:00:00+00:00,225828.1744453325,187361.9836603441,264294.3652303209
2024-05-17 00:00:00+00:00,220909.48563398956,182441.34330839035,259377.62795958878
2024-05-18 00:00:00+00:00,191124.64592180136,152655.0230631982,229594.26878040453
2024-05-19 00:00:00+00:00,180263.44819123019,141792.70211665853,218734.19426580184
2024-05-20 00:00:00+00:00,219659.04031163306,181182.40492867574,258135.67569459038
2024-05-21 00:00:00+00:00,225009.58127637152,186528.47838150093,263490.6841712421
2024-05-22 00:00:00+00:00,226112.81763682576,187628.32566634566,264597.30960730586
2024-05-23 00:00:00+00:00,225828.17445943994,187341.11145684682,264315.23746203305
2024-05-24 00:00:00+00:00,220909.48564627746,182420.47216204987,259398.49913050505
2024-05-25 00:00:00+00:00,191124.6459325044,152634.1527185919,229615.1391464169
2024-05-26 00:00:00+00:00,180263.4482005528,141771.8323800738,218755.0640210318
2024-05-27 00:00:00+00:00,219659.0403197533,181161.53838429548,258156.5422552111
2024-05-28 00:00:00+00:00,225009.58128344442,186507.6142578767,263511.54830901214
2024-05-29 00:00:00+00:00,226112.81764298643,187607.46337862598,264618.17190734687
2024-05-30 00:00:00+00:00,225828.174464806,187320.25056156915,264336.09836804285
2024-05-31 00:00:00+00:00,220909.48565095145,182399.61232291773,259419.35897898517
2024-06-01 00:00:00+00:00,191124.64593657557,152613.2936805537,229635.99819259744
2024-06-02 00:00:00+00:00,180263.44820409888,141750.9739496819,218775.92245851585
2024-06-03 00:00:00+00:00,219659.040322842,181140.68314118544,258177.39750449854
2024-06-04 00:00:00+00:00,225009.58128613475,186486.76143187453,263532.40114039497
2024-06-05 00:00:00+00:00,226112.81764532978,187586.61238583497,264639.0229048246
2024-06-06 00:00:00+00:00,225828.17446684712,187299.40095924117,264356.9479744531
2024-06-07 00:00:00+00:00,220909.48565272932,182378.7637752897,259440.20753016893
2024-06-08 00:00:00+00:00,191124.64593812413,152592.4459329713,229656.84594327695
2024-06-09 00:00:00+00:00,180263.4482054477,141730.1268089926,218796.7696019028
2024-06-10 00:00:00+00:00,219659.04032401685,181119.83918270597,258198.24146532774
2024-06-11 00:00:00+00:00,225009.58128715807,186465.91988668934,263553.2426876268
2024-06-12 00:00:00+00:00,226112.8176462211,187565.77267099693,264659.86262144527
2024-06-13 00:00:00+00:00,225828.1744676235,187278.56263271833,264377.78630252864
2024-06-14 00:00:00+00:00,220909.48565340557,182357.92650185886,259461.04480495228
2024-06-15 00:00:00+00:00,191124.64593871316,152571.60945838474,229677.68241904158
2024-06-16 00:00:00+00:00,180263.44820596077,141709.2909404039,218817.60547151763
2024-06-17 00:00:00+00:00,219659.04032446374,181099.00649120676,258219.07415772072
2024-06-18 00:00:00+00:00,225009.5812875473,186445.08960461445,263574.0729704802
2024-06-19 00:00:00+00:00,226112.81764656014,187544.94421634517,264680.6910767751
2024-06-20 00:00:00+00:00,225828.1744679188,187257.7355641735,264398.61337166413
2024-06-21 00:00:00+00:00,220909.4856536628,182337.10048473903,259481.87082258656
2024-06-22 00:00:00+00:00,191124.6459389372,152550.78423885186,229698.50763902254
2024-06-23 00:00:00+00:00,180263.4482061559,141688.4663259211,218838.43008639073
2024-06-24 00:00:00+00:00,219659.04032463374,181078.18504868337,258239.8956005841
2024-06-25 00:00:00+00:00,225009.58128769536,186424.27056763048,263594.89200776024
2024-06-26 00:00:00+00:00,226112.8176466891,187524.12700384247,264701.50828953576
2024-06-27 00:00:00+00:00,225828.17446803115,187236.91973555007,264419.42920051224
2024-06-28 00:00:00+00:00,220909.48565376064,182316.28570585416,259502.68560166712
2024-06-29 00:00:00+00:00,191124.64593902242,152529.9702562773,229719.32162176754
2024-06-30 00:00:00+00:00,180263.44820623015,141667.65294743062,218859.2434650297
